route_id,courier_id,date,feature_type,route_start_time,dsi,speed_strain,load_strain,order_rate,avg_interval,continuous_orders,load_intensity,act_entropy,avg_speed,spd_dev,task_density,nav_ratio,task_per_km,route_curvature,weather_score,time_period,congestion_index,no_act,r_dur_all,r_dis_all,rider_lvl,rider_spd,max_load,weather_raw,acc_orders_today,acc_distance_today,acc_time_today
2458,10007871,20200202,route,1580613674.0,4.244140386027163,0.8692589165545088,0.8181818181818182,10.901749663526244,371.5,4,0.8181818181818182,1.392147223231726,2.781628532974428,-0.04437935118394076,0.18169582772543744,0.5952607925915838,1.0886657796056611,4.6292826845242745,0,lunch_peak,0.30459286675639297,9.0,2972.0,8267.0,3.0,4.455620648816059,11.0,极恶劣天气,1,8.267,0.8255555555555556
2459,10007871,20200202,route,1580617034.0,3.59898598208361,0.8966316909975669,0.45454545454545453,10.94890510948905,411.0,4,0.45454545454545453,1.5219280944545537,2.869221411192214,-0.04437935118394076,0.18248175182481752,0.5766160185423641,1.05999576001696,1.968996445676069,0,lunch_peak,0.2826946472019465,5.0,1644.0,4717.0,3.0,4.455620648816059,11.0,极恶劣天气,2,12.984,1.2822222222222222
2460,10007871,20200202,route,1580620274.0,1.7818785197103781,0.290929203539823,0.45454545454545453,15.929203539823009,282.5,5,0.45454545454545453,1.5219280944545537,0.9309734513274336,-0.04437935118394076,0.26548672566371684,0.4278481012658228,4.752851711026616,3.287321035684099,0,day_off_peak,0.7672566371681416,5.0,1130.0,1052.0,3.0,4.455620648816059,11.0,极恶劣天气,3,14.036,1.596111111111111
2461,10007871,20200202,route,1580621654.0,4.418996710526316,0.8063322368421053,1.0,13.026315789473685,304.0,10,1.0,1.3485878955796138,2.580263157894737,-0.04437935118394076,0.21710526315789475,0.56861075635022,1.4023457419683834,5.456735805684572,0,day_off_peak,0.3549342105263158,11.0,3040.0,7844.0,3.0,4.455620648816059,11.0,极恶劣天气,4,21.88,2.4405555555555556
2462,10007871,20200202,route,1580625194.0,2.812518328445748,0.634475806451613,0.45454545454545453,11.61290322580645,387.5,3,0.45454545454545453,1.5219280944545537,2.0303225806451612,-0.04437935118394076,0.19354838709677422,0.5364832535885168,1.5888147442008262,1.8447168754330965,0,day_off_peak,0.4924193548387097,5.0,1550.0,3147.0,3.0,4.455620648816059,11.0,正常天气,5,25.027,2.871111111111111
2463,10007871,20200202,route,1580627534.0,4.3525548210576765,1.0266091827768014,0.6363636363636364,11.072056239015817,379.3333333333333,5,0.6363636363636364,1.4488156352923758,3.2851493848857647,-0.04437935118394076,0.18453427065026365,0.5303342963268676,0.9362043600374481,3.5809510136344884,0,day_off_peak,0.17871265377855883,7.0,2276.0,7477.0,3.0,4.455620648816059,11.0,极恶劣天气,6,32.504,3.5033333333333334
2464,10007871,20200202,route,1580631074.0,2.9318146981773587,0.6742412630288166,0.45454545454545453,11.036174126302882,407.75,4,0.45454545454545453,1.5219280944545537,2.1575720416922133,-0.04437935118394076,0.18393623543838136,0.4617161716171617,1.4208581983518045,2.298911248533621,0,day_off_peak,0.4606069895769467,5.0,1631.0,3519.0,3.0,4.455620648816059,11.0,正常天气,7,36.023,3.9563888888888887
2465,10007871,20200202,route,1580634854.0,4.474061522419187,0.8246871741397289,1.0,8.258602711157456,479.5,5,1.0,1.3485878955796138,2.6389989572471326,-0.04437935118394076,0.13764337851929093,0.4457928802588997,0.8692903429745535,10.0,0,dinner_peak,0.34025026068821684,11.0,4795.0,12654.0,3.0,4.455620648816059,11.0,正常天气,8,48.677,5.288333333333333
2466,10007871,20200202,route,1580642354.0,3.9172087683813483,1.002705953096813,0.45454545454545453,10.823812387251955,415.75,4,0.45454545454545453,1.5219280944545537,3.2086590499098016,-0.04437935118394076,0.1803968731208659,0.5946868145259566,0.937031484257871,1.993644519684761,0,night,0.1978352375225496,5.0,1663.0,5336.0,3.0,4.455620648816059,11.0,正常天气,9,54.013,5.750277777777778
2467,10012191,20200202,route,1580621629.0,3.508306962025316,0.8361023206751055,0.5,7.59493670886076,592.5,2,0.5,1.5219280944545537,2.6755274261603375,-0.0879919411594079,0.12658227848101267,0.4707458686913801,0.7885191610156127,1.8237510446941017,0,day_off_peak,0.33111814345991564,5.0,2370.0,6341.0,3.0,4.412008058840592,10.0,极恶劣天气,1,6.341,0.6583333333333333
